candidate_id,label,A_aromaticity,A_delta_wt_vs_mut,A_hybrid_complexity,A_hydrophobicity_kd,A_mutation_surprisal,A_net_charge,A_tcr_contact_potential,B_erap_nterm_proxy,B_proteasome_cterm,B_sanity_check,B_tap_transport_score,C_anchoring_P2,C_binding_quality,C_hla_anchor_p9,C_hla_delta_binding,C_total_binding,D1_exact_self_similarity,D_mutation_in_window,D_wt_presented,ic50_nm,rf_score,gb_score
REAL_065,REAL,0.2222222222222222,0.766023825089895,0.8549094853785433,1.1625,-0.1053530001462283,-0.0123456790123456,0.75,-1.0,1.0,1.0,0.48,0.5,0.7031986531986533,2.0,-0.3999999999999999,5.2,0.0,1.0,0.0,3.0,0.976,0.9999838693744162
DECOY_054,DECOY,0.1111111111111111,4.405486640358761,0.8299171687474145,5.025,-0.093153813797099,-0.0493827160493827,0.425,0.0,0.8,1.0,0.42,2.0,0.7260662177328844,0.5,3.7,5.6000000000000005,0.0,0.2,0.0,,0.97,0.9999838693744162
REAL_027,REAL,0.0,0.6815844425756401,0.6302969050466055,0.0,-0.6520766965796931,-0.0493827160493827,0.5,-0.5,0.8,1.0,0.42,2.0,0.6916947250280584,0.5,0.9999999999999996,5.4,0.0,0.5,0.0,34.0,0.95,0.9999838693744162
REAL_017,REAL,0.2222222222222222,1.0169789065697288,0.9462783967644932,0.0,0.3168571053399405,-0.0123456790123456,0.825,-0.8,0.4,1.0,0.12,2.0,0.6368237934904601,-0.3,0.1,3.400000000000001,0.0,1.0,0.0,10.0,0.97,0.9999838693744162
DECOY_001,DECOY,0.2222222222222222,1.3906669086607373,0.9480110667299834,0.0,0.3885286885726586,-0.0123456790123456,0.35,-0.5,1.0,1.0,0.6,2.0,0.6603815937149271,1.5,0.2000000000000001,6.800000000000001,0.0,1.0,0.0,,0.95,0.9999838693744162
REAL_005,REAL,0.2222222222222222,0.7173265311984117,0.9393864577114218,0.0,2.3479233034203064,-0.0493827160493827,0.3999999999999999,0.0,1.0,1.0,0.48,0.5,0.5808922558922558,2.0,0.2999999999999998,4.4,0.0,0.5,0.0,4.0,0.905,0.9999838693744162
DECOY_048,DECOY,0.2222222222222222,3.636556938792455,0.9077170573060772,3.675,0.0592597993252124,-0.0493827160493827,0.675,0.0,1.0,1.0,0.48,2.0,0.6467452300785633,2.0,0.0,7.6,0.0,1.0,0.0,,0.986,0.9999838693744162
REAL_051,REAL,0.1111111111111111,0.6883511795704728,0.805827268670956,0.0,-0.2543171887326845,0.0,0.225,-0.5,1.0,1.0,0.6,1.5,0.8267115600448934,1.5,0.5,7.5,0.0,0.5,0.0,9.0,0.7170000000000001,0.009614725262999203
REAL_026,REAL,0.1111111111111111,0.6815844425756401,0.8357480847484129,5.4,-0.6520766965796931,0.0,0.25,0.0,1.0,1.0,0.6,-0.5,0.7324915824915825,1.5,4.5,3.1,0.0,0.2,0.0,19.0,0.877,0.9999838693744162
DECOY_027,DECOY,0.0,3.863459622583938,0.6302969050466055,-1.6875,-0.1304153393159386,-0.0493827160493827,0.425,-0.5,0.8,1.0,0.42,2.0,0.6886644219977555,0.5,1.1,5.500000000000001,0.0,0.5,0.0,,0.94,0.9999838693744162
REAL_008,REAL,0.0,0.5427858387781791,0.7983865749486124,-0.375,0.5979015564286545,0.0,0.45,-0.8,1.0,1.0,0.48,2.0,0.755331088664422,2.0,0.0999999999999996,8.600000000000001,0.0,1.0,0.0,47.0,0.93,0.9999838693744162
DECOY_056,DECOY,0.1111111111111111,3.330497349497144,0.8733898758504762,-5.512499999999999,-0.0508634377465369,-0.0123456790123456,0.4,0.0,1.0,1.0,0.48,2.0,0.7991863075196408,2.0,0.2999999999999998,8.9,0.0,1.0,0.0,,0.88,0.9999838693744162
REAL_054,REAL,0.1111111111111111,0.6815844425756401,0.8299171687474145,5.4,-0.6520766965796931,-0.0493827160493827,0.425,0.0,0.8,1.0,0.42,2.0,0.6974186307519641,0.5,3.499999999999999,5.4,0.0,0.2,0.0,11.0,0.97,0.9999838693744162
REAL_056,REAL,0.1111111111111111,0.6883511795704728,0.8733898758504762,0.0,-0.2543171887326845,-0.0123456790123456,0.35,0.0,1.0,1.0,0.48,2.0,0.7942480359147025,2.0,0.2999999999999998,8.9,0.0,1.0,0.0,5.0,0.805,0.9999838693744162
DECOY_037,DECOY,0.0,0.1639185361330838,0.8598417247756182,-0.3000000000000001,-0.3977595078470086,-0.0123456790123456,0.275,0.0,1.0,1.0,0.6,2.0,0.6882996632996634,1.5,0.3999999999999999,7.0,0.0,1.0,0.0,,0.825,0.9999838693744162
REAL_022,REAL,0.2222222222222222,0.6883511795704728,0.805827268670956,-1.725,-0.2543171887326845,-0.0123456790123456,0.55,0.0,1.0,1.0,0.6,0.5,0.7196127946127946,1.5,0.3000000000000002,4.7,0.0,1.0,0.0,12.0,1.0,0.9999838693744162
DECOY_015,DECOY,0.0,1.357207463565176,0.9305199819861812,-1.0125000000000002,-0.1325865026156695,-0.1111111111111111,0.475,0.0,1.0,1.0,0.3999999999999999,0.5,0.5955106621773288,2.0,0.3000000000000002,4.3,0.0,1.0,0.0,,0.96,0.9999838693744162
DECOY_035,DECOY,0.1111111111111111,2.388856743481736,0.8489971749441401,1.0125000000000002,0.3885286885726586,-0.0123456790123456,0.325,0.4,1.0,1.0,0.6,1.5,0.7948372615039282,1.5,0.1999999999999997,6.9,0.0,1.0,0.0,,0.87,0.9999838693744162
REAL_006,REAL,0.1111111111111111,0.7201140940911593,0.6134351636923178,0.0,1.1655860657179755,0.0,0.325,-0.5,0.4,1.0,0.12,1.5,0.7918742985409652,-0.3,0.2999999999999998,3.8,0.0,0.5,0.0,42.0,0.6920000000000001,0.9999838693744162
DECOY_032,DECOY,0.0,2.5996761677775098,0.84899717494414,0.0,-0.0795519015694017,0.0,0.325,-0.5,1.0,1.0,0.48,1.5,0.781341189674523,2.0,0.4000000000000003,8.0,0.0,1.0,0.0,,0.762,0.9999838693744162
